
2022-01-05 12:17:52, step=1100, steptime=0.413, cls_loss=6.76, cls_loss_rt=3.82, loc_loss=1.7, loc_loss_rt=1.09, rpn_acc=0.995, prec@10=0.145, rec@10=0.483, prec@30=0.197, rec@30=0.28, prec@50=0.204, rec@50=0.168, prec@70=0.207, rec@70=0.0862, prec@80=0.204, rec@80=0.052, prec@90=0.172, rec@90=0.0201, prec@95=0.125, rec@95=0.00712, loss.loc_elem=[0.0359, 0.0152, 0.194, 0.0343, 0.0568, 0.0522, 0.156], loss.cls_pos_rt=1.96, loss.cls_neg_rt=0.887, num_vox=12300, num_pos=58, num_neg=6480, num_anchors=6618, lr=0.00149, image_idx=[4346], eta=33:55:51
2022-01-05 12:18:14, step=1150, steptime=0.469, cls_loss=6.66, cls_loss_rt=4.25, loc_loss=1.68, loc_loss_rt=0.918, rpn_acc=0.995, prec@10=0.148, rec@10=0.49, prec@30=0.206, rec@30=0.288, prec@50=0.216, rec@50=0.175, prec@70=0.224, rec@70=0.0913, prec@80=0.223, rec@80=0.0558, prec@90=0.193, rec@90=0.0222, prec@95=0.145, rec@95=0.00815, loss.loc_elem=[0.0224, 0.0207, 0.142, 0.0257, 0.0403, 0.039, 0.169], loss.cls_pos_rt=2.14, loss.cls_neg_rt=1.04, num_vox=10340, num_pos=67, num_neg=6488, num_anchors=6641, lr=0.00149, image_idx=[7372], eta=38:31:11
2022-01-05 12:18:36, step=1200, steptime=0.423, cls_loss=6.56, cls_loss_rt=5.34, loc_loss=1.65, loc_loss_rt=0.966, rpn_acc=0.995, prec@10=0.153, rec@10=0.497, prec@30=0.216, rec@30=0.296, prec@50=0.23, rec@50=0.182, prec@70=0.241, rec@70=0.0967, prec@80=0.242, rec@80=0.0597, prec@90=0.215, rec@90=0.0244, prec@95=0.168, rec@95=0.00924, loss.loc_elem=[0.0212, 0.0217, 0.158, 0.0359, 0.0508, 0.0484, 0.147], loss.cls_pos_rt=2.61, loss.cls_neg_rt=1.43, num_vox=14538, num_pos=64, num_neg=17215, num_anchors=17364, lr=0.00149, image_idx=[968], eta=34:45:57
2022-01-05 12:18:58, step=1250, steptime=0.416, cls_loss=6.46, cls_loss_rt=3.31, loc_loss=1.62, loc_loss_rt=0.866, rpn_acc=0.995, prec@10=0.156, rec@10=0.504, prec@30=0.224, rec@30=0.303, prec@50=0.242, rec@50=0.189, prec@70=0.257, rec@70=0.102, prec@80=0.261, rec@80=0.0638, prec@90=0.239, rec@90=0.0269, prec@95=0.194, rec@95=0.0106, loss.loc_elem=[0.0238, 0.0201, 0.134, 0.0241, 0.0574, 0.0276, 0.146], loss.cls_pos_rt=1.48, loss.cls_neg_rt=1.09, num_vox=10557, num_pos=66, num_neg=14865, num_anchors=15043, lr=0.00149, image_idx=[6489], eta=34:10:15
2022-01-05 12:19:20, step=1300, steptime=0.421, cls_loss=6.37, cls_loss_rt=3.98, loc_loss=1.6, loc_loss_rt=1.05, rpn_acc=0.995, prec@10=0.16, rec@10=0.51, prec@30=0.232, rec@30=0.31, prec@50=0.254, rec@50=0.195, prec@70=0.274, rec@70=0.107, prec@80=0.281, rec@80=0.0679, prec@90=0.262, rec@90=0.0292, prec@95=0.213, rec@95=0.0115, loss.loc_elem=[0.0154, 0.0126, 0.239, 0.0187, 0.0447, 0.0282, 0.168], loss.cls_pos_rt=1.79, loss.cls_neg_rt=1.3, num_vox=15047, num_pos=53, num_neg=20816, num_anchors=20959, lr=0.00149, image_idx=[3743], eta=34:35:49
2022-01-05 12:19:42, step=1350, steptime=0.416, cls_loss=6.29, cls_loss_rt=3.44, loc_loss=1.58, loc_loss_rt=0.839, rpn_acc=0.995, prec@10=0.163, rec@10=0.515, prec@30=0.24, rec@30=0.316, prec@50=0.265, rec@50=0.201, prec@70=0.289, rec@70=0.112, prec@80=0.298, rec@80=0.0714, prec@90=0.281, rec@90=0.031, prec@95=0.23, rec@95=0.0122, loss.loc_elem=[0.0223, 0.0188, 0.165, 0.0159, 0.0445, 0.032, 0.121], loss.cls_pos_rt=1.8, loss.cls_neg_rt=0.735, num_vox=13260, num_pos=61, num_neg=14388, num_anchors=14536, lr=0.00149, image_idx=[3028], eta=34:07:09
2022-01-05 12:20:04, step=1400, steptime=0.482, cls_loss=6.22, cls_loss_rt=4.03, loc_loss=1.55, loc_loss_rt=1.05, rpn_acc=0.995, prec@10=0.166, rec@10=0.52, prec@30=0.247, rec@30=0.322, prec@50=0.275, rec@50=0.206, prec@70=0.303, rec@70=0.116, prec@80=0.315, rec@80=0.0745, prec@90=0.299, rec@90=0.0328, prec@95=0.249, rec@95=0.0131, loss.loc_elem=[0.017, 0.0128, 0.264, 0.0231, 0.0528, 0.0501, 0.103], loss.cls_pos_rt=1.93, loss.cls_neg_rt=1.13, num_vox=12948, num_pos=68, num_neg=8533, num_anchors=8700, lr=0.00149, image_idx=[5376], eta=39:32:11
2022-01-05 12:20:27, step=1450, steptime=0.406, cls_loss=6.14, cls_loss_rt=4.12, loc_loss=1.53, loc_loss_rt=1.2, rpn_acc=0.995, prec@10=0.169, rec@10=0.526, prec@30=0.254, rec@30=0.328, prec@50=0.285, rec@50=0.212, prec@70=0.318, rec@70=0.121, prec@80=0.333, rec@80=0.0786, prec@90=0.324, rec@90=0.0356, prec@95=0.277, rec@95=0.0145, loss.loc_elem=[0.0233, 0.0144, 0.294, 0.0472, 0.0481, 0.0549, 0.117], loss.cls_pos_rt=2.28, loss.cls_neg_rt=0.698, num_vox=9612, num_pos=63, num_neg=9198, num_anchors=9353, lr=0.00149, image_idx=[1074], eta=33:19:56
2022-01-05 12:20:49, step=1500, steptime=0.415, cls_loss=6.07, cls_loss_rt=5.28, loc_loss=1.51, loc_loss_rt=1.1, rpn_acc=0.995, prec@10=0.172, rec@10=0.531, prec@30=0.261, rec@30=0.333, prec@50=0.295, rec@50=0.217, prec@70=0.331, rec@70=0.124, prec@80=0.348, rec@80=0.0816, prec@90=0.343, rec@90=0.0375, prec@95=0.296, rec@95=0.0154, loss.loc_elem=[0.0249, 0.0264, 0.224, 0.0211, 0.0436, 0.0351, 0.174], loss.cls_pos_rt=2.49, loss.cls_neg_rt=1.53, num_vox=11825, num_pos=64, num_neg=15090, num_anchors=15248, lr=0.00149, image_idx=[2588], eta=34:01:55
2022-01-05 12:21:11, step=1550, steptime=0.478, cls_loss=6.0, cls_loss_rt=4.53, loc_loss=1.49, loc_loss_rt=1.07, rpn_acc=0.995, prec@10=0.175, rec@10=0.536, prec@30=0.268, rec@30=0.339, prec@50=0.306, rec@50=0.223, prec@70=0.346, rec@70=0.13, prec@80=0.366, rec@80=0.0858, prec@90=0.366, rec@90=0.0403, prec@95=0.326, rec@95=0.0173, loss.loc_elem=[0.028, 0.0173, 0.201, 0.0436, 0.0532, 0.0308, 0.163], loss.cls_pos_rt=2.42, loss.cls_neg_rt=0.908, num_vox=11755, num_pos=58, num_neg=14589, num_anchors=14728, lr=0.00149, image_idx=[1916], eta=39:13:26
